date,alpha,beta_mkt,beta_smb,beta_hml,r2
2024-02-21,0.002936058929384651,-0.051938472541053056,-0.049900438085583164,-0.06755272619655173,0.40144318056089445
2024-02-22,0.0030063610878356714,-0.05000520067065995,-0.04722152416984819,-0.07988937360786237,0.38908794064936825
2024-02-23,0.0030357220618933865,-0.05123536747763184,-0.0471249568947344,-0.07699057115518514,0.3988006469690456
2024-02-26,0.0031615811759394905,-0.05195510821210582,-0.04478835547185895,-0.07859551771664448,0.3805998060334699
2024-02-27,0.003038025138786018,-0.05446412868067074,-0.046428626914623794,-0.07356650828323567,0.39229115033299233
2024-02-28,0.0031709806871503634,-0.05289006884720538,-0.04481032046452198,-0.06578278158680646,0.42058559078187563
2024-02-29,0.003114082380642841,-0.05869741653118575,-0.0461729773668612,-0.055722970984374745,0.44311341918023595
2024-03-01,0.003270202359444553,-0.05461638000357277,-0.04417996610312126,-0.07942022639047179,0.4464681635893929
2024-03-04,0.003240965273189889,-0.05424155889031714,-0.04397444069946169,-0.09040282727242252,0.4534002984508425
2024-03-05,0.003331363732417296,-0.05500484644023372,-0.04343121846528002,-0.08105015704884014,0.46092834559127116
2024-03-06,0.0034084315176656924,-0.054194025336850804,-0.04412900453194132,-0.0786266373945485,0.48285310837446105
2024-03-07,0.0035238637640772944,-0.05667334493392266,-0.0435368758303083,-0.062421419126556896,0.4633824913276172
2024-03-08,0.003544151369878562,-0.056104443019646025,-0.04449909263965375,-0.07582470485239577,0.4841832628340864
2024-03-11,0.003454116588279752,-0.058147985149546444,-0.04465963563401955,-0.0741785196985044,0.4888614421856551
2024-03-12,0.003620035708953324,-0.06965920002249498,-0.04540695861621355,-0.0864209820753323,0.5254092285616432
2024-03-13,0.0036382560655459973,-0.0680319034794306,-0.04621369143140131,-0.0848488761569197,0.5281826161746277
2024-03-14,0.0035701859241278515,-0.06951726012123771,-0.046425529006742655,-0.09531250576837652,0.5379736120454333
2024-03-15,0.0035951643015176985,-0.06660823387086015,-0.04613059775095644,-0.08689243112767876,0.5146333060851679
2024-03-18,0.0034917651011934833,-0.06578116730533695,-0.04675408566839596,-0.1021476688748717,0.52788975363223
2024-03-19,0.0035105445636610453,-0.06586521688790428,-0.046027453600409426,-0.10664207906771808,0.5193664659991357
2024-03-20,0.0034960457652295487,-0.0670630522880753,-0.04653757056340507,-0.10764581171635952,0.5204894878663096
2024-03-21,0.0036416285115583114,-0.07462254758417601,-0.04913203813933366,-0.10244474968518666,0.5448151747854884
2024-03-22,0.003628778033373844,-0.07358826961383912,-0.049822834798359986,-0.1128690746718698,0.5523178398404232
2024-03-25,0.003449092721007722,-0.062145418791918636,-0.046755488609071534,-0.1135953469644251,0.5090224452841825
2024-03-26,0.00338315042882093,-0.050633404618819065,-0.03565266810912708,-0.06523750752110491,0.2810279832503063
2024-03-27,0.0034689622538557107,-0.1075335398659673,-0.021313493005747197,-0.05609712899115885,0.5000233900991784
2024-03-28,0.0031650785636628508,-0.15490691242619611,0.004952627744791105,-0.11683786777226178,0.5833256604778354
2024-03-29,0.0031710101523945294,-0.15424341858146295,-0.0010349640559638995,-0.12465729667511842,0.5826537253393336
2024-04-01,0.00331046121153977,-0.11639443642610744,-0.02694244792590303,-0.05759220170906057,0.604536285253694
2024-04-02,0.003486658453876174,-0.1255492913062643,-0.014828667457784356,-0.046849082591097,0.6658014293150976
2024-04-03,0.0035632455420172714,-0.1230555064694091,-0.011355141650997547,-0.036203940025485104,0.6805194693535543
2024-04-08,0.0035067750653443386,-0.1167055676919933,-0.015084584113060517,-0.022654559356022355,0.696429163814371
2024-04-09,0.0035011549252893398,-0.12694397883379413,-0.0023624554850580626,-0.03670036688301376,0.7076001441879745
2024-04-10,0.0034639843692992793,-0.12068497275099735,-0.011205687359546634,-0.030334329230630334,0.7298710639757093
2024-04-11,0.003421102257974233,-0.11798383033208076,-0.0106591352116783,-0.04136909634549629,0.6699897380719955
2024-04-12,0.0034506381775077947,-0.11240989450964642,-0.026250478213804843,-0.03339483202915269,0.6454945330656499
2024-04-15,0.0034608653095301594,-0.10848379087157187,-0.018161884258698625,-0.03357335191473798,0.5708177971460087
2024-04-16,0.0033954203710778318,-0.11056571907826117,-0.022893603472646046,-0.01580465505473846,0.6809005545838946
2024-04-17,0.0034701405275688523,-0.08815341280921915,-0.018180921118594415,0.031488203222013914,0.5907727338027856
2024-04-18,0.0034418210864070645,-0.08726175640513083,-0.017973057736908306,0.03712196751607007,0.5923020581981304
2024-04-19,0.0034899393973440596,-0.09033836676840684,-0.01335434371452423,0.029020647394720975,0.6099865498417671
2024-04-22,0.003417873311978161,-0.08629167507236972,-0.01476232119731212,0.029707504382763327,0.5791634972664985
2024-04-23,0.003410051627664339,-0.08563832394704557,-0.015510625082569732,0.03181802073246186,0.5721621514974491
