Code,cycles,P25_min,P50_min,P75_min
000545.SZ,20,2852.833458333333,6483.765075,10058.070745833335
000546.SZ,37,4313.012166666666,7120.306833333333,11775.242166666667
000547.SZ,13,14115.014016666666,30226.612,52075.23266666666
000548.SZ,3,30962.814491666664,53277.18833333333,60488.853741666666
000550.SZ,7,5074.247083333334,9763.789,63222.06516666667
000551.SZ,8,16779.417733333335,24458.778908333334,30239.444204166666
000552.SZ,43,2847.230325,5769.312833333333,15094.961908333335
000553.SZ,3,72001.28291666666,87865.22215,97965.13824166666
000554.SZ,9,15840.4455,20376.677666666666,37392.434166666666
000555.SZ,24,5695.070541666666,11497.466983333334,25937.3365
000557.SZ,5,30221.690816666665,50204.29731666666,51691.3605
000558.SZ,13,4332.681316666667,11503.323816666667,18468.680016666665
